id,created at,text,screen_names,followers_count,friends_count,name,lat,lon,place name,place type
1125483799977050112,Mon May 06 19:33:43 +0000 2019,Samsung Galaxy S10 Plus Ring Case -  S10e Finger Ring Holder Case https://t.co/g752DbxxCc,Redpeppercases,6,85,Redpepper Cases,,,,
1125483807430270978,Mon May 06 19:33:44 +0000 2019,RT @iannnnn: ใครใช้ S10 ก็ให้เลือกปลดล็อกหน้าจอด้วยวิธีอื่นเด้อ ปลดด้วยหน้าอันตราย https://t.co/Q6tHYPsh4W,bu_bulong,127,183,kusuma,,,,
1125483837016936450,Mon May 06 19:33:51 +0000 2019,Samsung Galaxy S10 Metal Case - S10 Plus Aluminum Metal Case https://t.co/PD9KiCRltI,Redpeppercases,6,85,Redpepper Cases,,,,
1125483887985971200,Mon May 06 19:34:04 +0000 2019,"RT @litGaws: Giveaway 

IPhone XS Max and Samsung S10

Rules:
-Retweet
-Activate my Notifications 
-Like

🏁Ends in 4 Days🏁 https://t.co/yGY…",Rovino_rs,11,39,M Rovino Sanjaya,,,,
1125484044265885702,Mon May 06 19:34:41 +0000 2019,@GetRhinoShield do you have the exact release date of leather protectors for Galaxy S10 + ?,Juliencrp2,156,618,Julien,,,,
1125484180887019525,Mon May 06 19:35:13 +0000 2019,Как упростить доступ к панели уведомлений на большом экране Galaxy S10 - https://t.co/sJG3XvyjgL https://t.co/iDYp6ukNWz,PavelNosok,82,66,Pavel Nosok,,,,
1125484215766851584,Mon May 06 19:35:22 +0000 2019,"na moral, esse s10+ foi a melhor aquisição que eu fiz na vida",pedrucrvg,662,212,PH,,,,
1125484556860186624,Mon May 06 19:36:43 +0000 2019,72 lucas el S10 plus cuántas cajas de leche son?,liveinplastic,303,402,overwachin,,,,
1125484645838094337,Mon May 06 19:37:04 +0000 2019,RT @allforcrypto1: Invest in the AFCT/Allforcrypto IEO on May the 15 for your chance to win a Samsung Galwaxy S10 .For terms and conditions…,sbarros67,2443,2593,#SDV só #TimBETA,,,,
1125484892387672064,Mon May 06 19:38:03 +0000 2019,"@LoicAderroDev @ROCCATFrance @SamsungFR Oui ce serait top de pouvoir choisir, mais personnellement le S10+ me convi… https://t.co/aaq3A3MM9o",CRSavantTout,323,563,Le Thanos des CRS,,,,
1125484942895538176,Mon May 06 19:38:15 +0000 2019,Selling a Samsung Galaxy S10 can be used with any carrier. Inbox for price cuz fb keep deleting my post for some re… https://t.co/qzyaBdYVQ5,DemiBoo27,28,40,Demi,,,,
1125485005054963712,Mon May 06 19:38:30 +0000 2019,"Samsung finalmente volta a vender bem na China, graças ao Galaxy S10 https://t.co/HRmhzLihzD",publicelnet,1188,823,PubliCel.net,,,,
1125485055789473793,Mon May 06 19:38:42 +0000 2019,"@pressredrentals @Tobias_Flanders @ShropshireStar No, Samsung S10.",telfordlive,16506,6565,Telford Live!,,,,
1125485122986303488,Mon May 06 19:38:58 +0000 2019,"記事見るとAがXS、BがS10+だった。
個人的には全部においてBが良いな",ICESH0P,16,29,氷屋シチューえい,,,,
1125485211893010432,Mon May 06 19:39:19 +0000 2019,@Andrei310101 @UniverseIce @rquandt The display is developed and designed by Oneplus and way superior to the one in… https://t.co/0txXD7FWcq,PhoneNewsLive,7,17,PHONE NEWS,,,,
1125485255190728704,Mon May 06 19:39:29 +0000 2019,Literally cannot wait to get my hands on the new Galaxy S10 and be one of the first to experience Verizon's #5G Ult… https://t.co/sXG9zKIoW9,GlenDMatthews,18,64,Glen Matthews,,,,
1125485303920304128,Mon May 06 19:39:41 +0000 2019,"RT @TabaSpamsL2R2: El ganador de la skin ikonik es @vlaksitooo 
Enhorabuena!🥳
Contáctame por MD📩

Muchas gracias a todos los que habéis par…",vlaksitooo,3,27,¿Silence Vlak?,,,,
1125485305539321859,Mon May 06 19:39:42 +0000 2019,"@Andy_InThe_ATX @GadgetGuard @SamsungMobile Hey there Andy! If you can, could you lend me about 10 minutes of your… https://t.co/vkqxkVctdT",RetroLan,752,765,Retro Gaming | MARIO MAKER 2!,,,,
1125485343816409088,Mon May 06 19:39:51 +0000 2019,WIN THESE 15 Samsung Galaxy S10+(GIVEAWAY)! https://t.co/5PA9b9Xuk0 via @YouTube,bro_madz,420,294,madatu jr,,,,
1125485456085401600,Mon May 06 19:40:17 +0000 2019,Samsung cria quiosques itinerantes com customização grátis de capas do Galaxy S10 - https://t.co/1EdF7LZRlJ https://t.co/IterwamQk5,Tec_sVipCHAT,33,20,Tecnologia sVipCHAT,,,,
1125485469331075079,Mon May 06 19:40:21 +0000 2019,"@Xx_finny_xX @DavKarimz @JazzCultureT @TheRedKillerX1 @UniverseIce S10+ isn't, size od its hole is",matix1000000,43,84,matix1000000,,,,
1125485470484434945,Mon May 06 19:40:21 +0000 2019,Snapchat the ones that really do Android users dirty because my snap camera isn't even close to the camera on my S10,sir_darkskin,2049,1520,Spitta Stan Account,,,,
1125485533466173440,Mon May 06 19:40:36 +0000 2019,@JayDay2013 @marceaux_holden @realzpnl @Veepi @jxhncrxw @snoozyshemp @speedyesther @blackwomanfan Shit that's it ca… https://t.co/mVLmcDSklr,Tailor_Thaddeus,840,799,iii,,,,
1125485553728856064,Mon May 06 19:40:41 +0000 2019,Snapchat the ones that really do Android users dirty because my snap camera isn't even close to the stock camera on my S10,sir_darkskin,2049,1520,Spitta Stan Account,,,,
1125485584804347904,Mon May 06 19:40:48 +0000 2019,Samsung Galaxy S10 -användare slår larm om allvarligt fel https://t.co/9ItqjlDcw6 https://t.co/Wcy2R3N9Ec,mobilanyheter,486,1935,Mobilanyheter,,,,
1125485721677123584,Mon May 06 19:41:21 +0000 2019,"Vi una publicidad de samsumg que decia, cambia tu s8 por el s10, yendoo",RikiMirandaa,852,880,✝,,,"Moreno, Argentina",city
1125485726496256000,Mon May 06 19:41:22 +0000 2019,"↗갤럭시S10 5G 싸게 사는 곳으로 혜자가격에 사은품 많이 주는 곳 알아냈어요. 한정수량 풀린거라하니 서두르세요~
https://t.co/CKYzUCCGcF",eunsoo176thanks,302,644,김은영,,,,
1125485774290411520,Mon May 06 19:41:33 +0000 2019,Koodo ‘Flash Sale’ offers 512GB Samsung Galaxy S10 for $460 off https://t.co/1FknYiRyEI https://t.co/3Nc4Ent1GI,RESQBug,962,2042,Allan,,,,
1125485779176783872,Mon May 06 19:41:34 +0000 2019,"RT @JayneStorm38G: Added this too my wishlist. I know its not sexy but I need it for my new phone xxxx
NXET Wireless Charger Stand, 10W Fas…",mellis6942,1871,3769,Gredgy,,,,
1125485891940696070,Mon May 06 19:42:01 +0000 2019,WhiteStone Dome Glass GOOGLE PIXEL 2 XL Tempered Screen Protector #whitestonedome #screenprotector #screen #cracked… https://t.co/dgfPvuDu6b,domeglass1,96,2200,WhitestoneDomeGlass,,,,
1125485893190672384,Mon May 06 19:42:02 +0000 2019,"Samsung Galaxy S10 Plus Protecteur d'écran de Téléphone, [Dome Glass]... https://t.co/gJVh5FHJz8 #Amazon https://t.co/AtWpu0Ueca",domeglass1,96,2200,WhitestoneDomeGlass,,,,
